Player ID,H,HR,AVG,BB%
abramcj01,130,17,0.265,0.063
abreuwi02,89,22,0.253,0.099
acunajo01,38,0,0.238,0.063
adelljo01,105,31,0.235,0.059000000000000004
acunaro01,73,15,0.284,0.17
adamewi01,117,26,0.23,0.113
albieoz01,125,13,0.236,0.085
allenni02,80,0,0.222,0.07400000000000001
alonspe01,141,31,0.267,0.091
altuvjo01,141,24,0.274,0.084
alvaryo01,27,4,0.229,0.162
arandjo01,113,12,0.316,0.098
arenano01,85,10,0.235,0.071
ariasga01,78,9,0.222,0.06
arozara01,126,26,0.244,0.08900000000000001
arraelu01,153,6,0.285,0.046
baderha01,95,14,0.271,0.085
baezja01,98,11,0.261,0.025
bailepa01,70,2,0.206,0.071
bargead01,98,18,0.249,0.064
bartjo01,60,2,0.24,0.124
beckjo01,122,14,0.269,0.078
belljo02,91,16,0.228,0.114
beninan01,90,15,0.238,0.081
bettsmo01,123,14,0.25,0.095
bichebo01,176,17,0.31,0.059000000000000004
bledajj01,56,12,0.21,0.11599999999999999
bogaexa01,124,10,0.262,0.09
bohmal01,113,9,0.278,0.059000000000000004
bregmal01,100,16,0.286,0.098
burgeja01,72,12,0.244,0.032
buschmi02,117,26,0.263,0.08800000000000001
butlela01,115,18,0.232,0.096
buxtoby01,109,29,0.272,0.081
caminju01,133,39,0.258,0.057999999999999996
campbkr01,51,6,0.223,0.11
carpeke01,95,22,0.257,0.035
carroco02,126,29,0.258,0.08900000000000001
carteev01,48,5,0.247,0.086
casteni01,124,16,0.251,0.055
chapmma01,86,18,0.229,0.133
chourja01,129,18,0.282,0.047
clemeer01,128,9,0.273,0.043
clemeko01,56,14,0.206,0.076
colliis01,90,8,0.276,0.122
confomi01,68,10,0.19,0.111
contrwi01,117,20,0.251,0.077
contrwi02,132,17,0.26,0.128
correca01,122,10,0.273,0.076
cowseco01,54,12,0.21,0.061
crawfjp01,130,9,0.262,0.115
crewsdy01,43,7,0.202,0.076
croneja01,87,10,0.249,0.135
crowape01,130,28,0.25,0.044000000000000004
cruzon01,84,19,0.204,0.121
delacel01,147,19,0.272,0.092
deverra01,136,29,0.264,0.154
diazel01,47,8,0.202,0.081
diazya01,145,22,0.286,0.075
diazya02,116,18,0.253,0.039
dingldi01,102,12,0.279,0.046
dominja01,93,10,0.255,0.095
donovbr01,118,9,0.279,0.084
doylebr02,106,14,0.249,0.063
duranja01,138,14,0.26,0.08900000000000001
durbica01,95,10,0.257,0.057
edmanto01,69,12,0.228,0.054000000000000006
edwarxa01,141,2,0.284,0.077
espinsa01,73,0,0.245,0.065
estrath01,39,3,0.253,0.036000000000000004
fitzgty01,47,4,0.217,0.07
florewi01,92,14,0.243,0.076
forteni01,38,4,0.218,0.052000000000000005
fraleja01,44,6,0.243,0.121
francty01,108,7,0.26,0.048
fraziad01,95,5,0.272,0.057
freemfr01,138,18,0.3,0.1
frelisa01,136,10,0.298,0.076
friedtj01,131,10,0.267,0.11599999999999999
garciad02,112,18,0.235,0.051
garcilu04,110,11,0.263,0.051
garcima01,150,15,0.298,0.091
gimenan01,57,7,0.214,0.067
goldspa01,121,10,0.278,0.067
goodmhu01,123,26,0.273,0.057999999999999996
greenri03,140,32,0.27,0.071
grishtr01,101,28,0.246,0.139
guerrvl02,142,21,0.287,0.127
gurrilo01,124,19,0.248,0.057
happia01,114,19,0.238,0.131
harpebr03,113,23,0.269,0.11599999999999999
harrimi04,132,17,0.252,0.026000000000000002
hayeske01,113,5,0.244,0.054000000000000006
haysau01,83,12,0.261,0.077
heimjo01,76,10,0.22,0.066
hendegu01,138,16,0.279,0.09
hernate01,104,21,0.245,0.046
herreiv01,87,12,0.286,0.094
heywaja01,15,2,0.176,0.063
hoernni01,144,5,0.289,0.059000000000000004
hollija01,125,15,0.245,0.078
horwisp01,78,7,0.259,0.09300000000000001
hoskirh01,65,12,0.242,0.11900000000000001
indiajo01,108,8,0.232,0.098
isbelky01,88,4,0.265,0.054000000000000006
janseda01,52,11,0.204,0.124
jeffery01,98,9,0.258,0.10800000000000001
jonesno01,68,5,0.218,0.10300000000000001
judgeaa01,149,43,0.324,0.171
jungjo01,102,13,0.259,0.055
keithco01,96,12,0.257,0.10400000000000001
kellyca02,79,14,0.259,0.11900000000000001
keplema01,77,14,0.213,0.10400000000000001
kineris01,106,1,0.264,0.04
kirkal01,114,11,0.295,0.09300000000000001
kurtzni01,103,27,0.308,0.135
kwanst01,142,10,0.274,0.078
langesh01,105,29,0.261,0.067
langfwy01,109,21,0.249,0.11900000000000001
larnatr01,109,16,0.252,0.092
laurera01,108,22,0.293,0.069
leeju01,127,7,0.259,0.079
lemahdj01,34,2,0.266,0.099
lewisro02,65,10,0.23,0.078
lindofr01,148,26,0.267,0.076
lopezot01,109,12,0.242,0.086
lowebr01,113,28,0.264,0.073
lowejo01,76,9,0.237,0.079
lowena01,105,17,0.222,0.09699999999999999
luxga01,104,5,0.274,0.11
manzaky01,90,24,0.233,0.094
machama01,151,21,0.284,0.085
marshbr02,87,8,0.275,0.087
marteke01,114,24,0.29,0.128
martest01,66,8,0.28,0.081
martian02,86,10,0.225,0.039
martini02,23,1,0.225,0.081
massemi02,47,2,0.217,0.022000000000000002
matonni01,9,2,0.167,0.14300000000000002
mccutan01,101,12,0.246,0.122
mckinza01,106,11,0.264,0.096
mclaima01,97,13,0.223,0.095
mcmahry01,97,18,0.217,0.122
meidrch01,92,4,0.253,0.09300000000000001
merrija01,91,9,0.261,0.073
meyerja02,89,3,0.308,0.084
misneka01,42,5,0.213,0.07400000000000001
moniami01,95,18,0.262,0.047
morelch01,52,10,0.219,0.07
morenga01,58,7,0.282,0.063
mountry01,71,5,0.264,0.042
mullice01,88,16,0.223,0.102
muncyma01,72,17,0.258,0.17300000000000001
murphse01,58,16,0.204,0.106
myersda01,68,6,0.233,0.07200000000000001
narvaca01,84,12,0.246,0.092
naylobo01,53,11,0.177,0.12
netoza01,124,25,0.264,0.057
naylojo01,133,16,0.283,0.084
nimmobr01,129,22,0.263,0.084
nootbla01,105,13,0.244,0.11
norbyco01,64,6,0.243,0.059000000000000004
ohearry01,110,16,0.278,0.114
ohopplo01,84,19,0.225,0.048
ohtansh01,143,45,0.276,0.14800000000000002
olsonma02,143,21,0.269,0.129
ortizjo06,94,7,0.232,0.059000000000000004
ozunama01,95,20,0.227,0.16699999999999998
pagesan01,136,23,0.275,0.05
pagespe02,72,11,0.229,0.053
paredis01,91,19,0.259,0.12
parisky01,24,6,0.19,0.071
pasquvi01,135,28,0.259,0.073
pederjo01,36,8,0.175,0.11
penaje02,130,14,0.307,0.064
perazos02,29,4,0.157,0.061
perdoge01,145,16,0.285,0.134
perezsa02,121,23,0.241,0.043
phamth01,87,8,0.264,0.10400000000000001
polanjo01,98,22,0.25,0.078
queroed01,82,4,0.281,0.083
rafaece01,116,15,0.248,0.044000000000000004
raleica01,122,50,0.243,0.136
ramirag01,103,19,0.231,0.06
ramirjo01,139,26,0.28,0.096
ramoshe02,140,16,0.267,0.076
realmjt01,114,11,0.264,0.064
renfrhu01,18,0,0.182,0.07400000000000001
rengilu01,107,7,0.247,0.064
reynobr01,124,14,0.245,0.081
ricebe01,94,22,0.242,0.10300000000000001
rileyau01,108,16,0.26,0.06
roberlu01,85,14,0.223,0.09300000000000001
rodenal01,26,2,0.191,0.052000000000000005
rodgebr02,22,2,0.191,0.086
rodriju01,149,26,0.264,0.055999999999999994
rookebr01,146,27,0.27,0.09300000000000001
ruizke01,63,2,0.247,0.03
rutscad01,70,9,0.227,0.106
