Player ID,BB%,BAA,TBF,H,BB,K,GB%
abbotan01,0.069,0.223,566,116,39,125,0.305
abelmi01,0.08800000000000001,0.315,137,39,12,24,0.35
abreubr01,0.106,0.175,255,39,27,95,0.33299999999999996
adamja01,0.09300000000000001,0.21,270,50,25,70,0.433
akinke01,0.11699999999999999,0.227,223,44,26,50,0.384
alcansa01,0.081,0.25,639,143,52,119,0.45899999999999996
allenlo02,0.098,0.265,583,136,57,105,0.42700000000000005
andergr01,0.102,0.209,266,49,27,66,0.433
anderty01,0.095,0.253,599,135,57,104,0.292
armstsh01,0.076,0.158,237,33,18,63,0.33299999999999996
ashcrgr01,0.094,0.265,254,60,24,56,0.563
bachala01,0.10800000000000001,0.208,251,45,27,67,0.344
bakerbr01,0.063,0.215,223,45,14,72,0.387
bandaan01,0.11800000000000001,0.211,237,43,28,52,0.39399999999999996
banksta01,0.043,0.212,235,47,10,55,0.391
barlosc01,0.14,0.195,265,43,37,69,0.44799999999999995
bassich01,0.068,0.263,674,161,46,154,0.446
bautife01,0.162,0.134,142,16,23,50,0.507
bazared01,0.09699999999999999,0.186,268,44,26,67,0.358
bazsh01,0.08800000000000001,0.253,640,145,56,156,0.48200000000000004
bednada01,0.07200000000000001,0.209,208,40,15,71,0.446
beeksja02,0.087,0.209,208,39,18,43,0.462
bellobr01,0.08199999999999999,0.239,612,130,50,112,0.489
bendean01,0.10300000000000001,0.177,204,32,21,42,0.48200000000000004
bergery01,0.099,0.192,262,45,26,59,0.295
bernabr01,0.11699999999999999,0.206,213,37,25,41,0.49700000000000005
bibeeta01,0.07400000000000001,0.258,660,154,49,136,0.44
berrijo01,0.077,0.25,635,144,49,129,0.396
bidoos01,0.084,0.301,320,84,27,55,0.313
birdja01,0.10099999999999999,0.276,248,60,25,66,0.461
blancro01,0.10099999999999999,0.21,199,37,20,48,0.32799999999999996
booseca01,0.141,0.217,128,23,18,33,0.293
borucry01,0.095,0.236,126,26,12,27,0.535
boydma01,0.059000000000000004,0.23,632,133,37,142,0.376
bradlta01,0.09300000000000001,0.239,514,109,48,102,0.45299999999999996
brazohu01,0.11699999999999999,0.235,223,44,26,51,0.5
brogdco01,0.10099999999999999,0.245,158,34,16,33,0.312
brownbe02,0.065,0.282,462,120,30,116,0.426
brownhu01,0.077,0.199,633,114,49,182,0.46
bubickr01,0.08199999999999999,0.227,476,98,39,116,0.465
buehlwa01,0.10800000000000001,0.272,508,120,55,84,0.44299999999999995
bummeaa01,0.07200000000000001,0.25,235,51,17,51,0.545
burkebr01,0.079,0.258,227,51,18,46,0.494
burkese01,0.10300000000000001,0.253,522,116,54,110,0.34700000000000003
burneco01,0.098,0.21,265,49,26,63,0.49700000000000005
burromi01,0.084,0.241,334,72,28,80,0.40700000000000003
buttojo01,0.10400000000000001,0.24,240,50,25,52,0.46299999999999997
cabreed02,0.077,0.234,543,114,42,140,0.467
camerno01,0.071,0.216,438,87,31,83,0.402
cannigr01,0.107,0.24,328,70,35,70,0.502
cannojo02,0.08199999999999999,0.274,429,105,35,76,0.379
carraca01,0.08,0.316,212,61,17,34,0.348
castilu02,0.067,0.26,658,157,44,138,0.41600000000000004
ceasedy01,0.1,0.24,630,133,63,190,0.36
ceccosl01,0.06,0.259,430,103,26,83,0.39899999999999997
chapmar01,0.071,0.115,197,21,14,77,0.377
claseem01,0.06,0.256,201,46,12,47,0.46399999999999997
cleavga01,0.08,0.18,200,32,16,68,0.46399999999999997
corbipa01,0.076,0.266,578,140,44,114,0.38299999999999995
couloda01,0.08800000000000001,0.208,160,30,14,41,0.39
crochga01,0.061,0.22,689,141,42,214,0.483
cruzfe01,0.095,0.171,147,22,14,60,0.35700000000000004
degroja01,0.057,0.194,581,105,33,161,0.40399999999999997
delosen01,0.087,0.227,219,45,19,46,0.342
detmere01,0.1,0.241,251,54,25,78,0.452
diazed04,0.086,0.169,210,31,18,81,0.49
dobbihu01,0.066,0.257,256,61,17,45,0.484
dollach01,0.111,0.279,423,102,47,77,0.425
dominse01,0.14400000000000002,0.202,229,39,33,69,0.41600000000000004
dovalca01,0.13,0.21,247,44,32,63,0.537
dreyeja01,0.079,0.209,266,50,21,61,0.359
duranjh01,0.073,0.222,248,50,18,66,0.6459999999999999
eflinza01,0.042,0.304,309,88,13,50,0.402
